Report Number,Date,Time,Collision Day of Week,Primary Road,Secondary Road,X,Y,Latitude,Longitude,Highest Degree of Injury,Number Injured,Number Killed,Party at Fault,Primary Collision Factor,Hit and Run,Collision Type,Involved With,Pedestrian Action,Violation,Violation Subsection,Weather,Road Condition1,Lighting,Right of Way Controls,Party Type 1,Party Age 1,Party Sex 1,Movement Preceding Collision 1,special information 1,Associated Cause - Factor 1 1,Party Sobriety 1 1,Party Type 2,Party Age 2,Party Sex 2,Movement Preceding Collision 2,special information 2,Associated Cause - Factor 1 2,Party Sobriety 1 2,Safety Equipment 2
201700000989,1/10/2017,08:50,Tuesday,VALLEY AV,BUSCH RD,6167305.341,2071219.108,37.67529814,-121.86263,Complaint of Pain,2,0,1,Unsafe Speed,No,Rear-End,Other Motor Vehicle,No Pedestrian Involved,22350,,Raining,No Unusual Condition,Daylight,Functioning,Driver,30,Male,Proceeding Straight,Cell Phone Not In Use,None Apparent,HNBD,Driver,35,Female,Slowing/Stopping,Cell Phone Not In Use,None Apparent,HNBD,Lap/Shoulder Harness Used
201700001069,1/10/2017,19:05,Tuesday,DUBLIN CANYON RD,CANYON MEADOWS DR,6142588.605,2078705.258,37.69475893,-121.948469,Complaint of Pain,2,0,1,Wrong Side of Road,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,21650,1,Raining,No Unusual Condition,Dark - No Street Lights,No Controls Present / Factor,Driver,63,Male,Proceeding Straight,Cell Phone Not In Use,Violation,HNBD,Driver,33,Female,Making U Turn,Cell Phone Not In Use,,HNBD,Lap/Shoulder Harness Used
201800001275,1/10/2018,20:27,Wednesday,ABBIE ST,MAIN ST,6163179.18,2065206.723,37.65860661,-121.8767,Property Damage Only,0,0,1,Unsafe Starting or Backing,Misdemeanor,Other,Parked Motor Vehicle,No Pedestrian Involved,22106,,Clear,No Unusual Condition,Dark - Street Lights,No Controls Present / Factor,Driver,,Not Stated,Backing,Not Stated,None Apparent,Impairment Not Known,Parked Vehicle,,,Parked,Not Stated,None Apparent,Not Applicable,
201100001728,1/11/2011,16:39,Tuesday,HOPYARD RD,OWENS DR,6155369,2079905,37.69865621,-121.9043607,Property Damage Only,1,0,,Traffic Signals and Signs,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,21453,,Raining,No Unusual Condition,Daylight,Functioning,Driver,29,Not Stated,Proceeding Straight,Not Stated,Not Stated,HNBD,Driver,55,Not Stated,Making Left Turn,Not Stated,Not Stated,HNBD,Lap/Shoulder Harness Used
2013-00002573,1/11/2013,01:00,Friday,ROCKY CREEK PL,STERLING GREENS CI (N),6160104.847,2061581.382,37.64862709,-121.8871415,Property Damage Only,0,0,1,Unsafe Starting or Backing,No,Broadside,Parked Motor Vehicle,No Pedestrian Involved,22106,,Clear,No Unusual Condition,Dark - Street Lights,None,Driver,59,Male,Backing,Cell Phone Not In Use,None Apparent,Impairment Not Known,Parked Vehicle,,Not Stated,Parked,Not Stated,None Apparent,Not Applicable,Not Stated
2013-00001344,1/11/2013,17:47,Friday,STONERIDGE DR,HOPYARD RD,6155828.876,2077281.553,37.69145175,-121.9027714,Complaint of Pain,1,0,1,Unsafe Speed,No,Rear-End,Other Motor Vehicle,No Pedestrian Involved,22350,,Clear,No Unusual Condition,Dark - Street Lights,Functioning,Driver,45,Male,Proceeding Straight,Cell Phone Not In Use,None Apparent,HNBD,Driver,26,Female,Stopped In Road,Cell Phone Not In Use,None Apparent,HNBD,Lap/Shoulder Harness Used
201400001552,1/11/2014,15:43,Saturday,HOPYARD RD,INGLEWOOD DR,6155507,2076069,37.68808528,-121.9036448,Complaint of Pain,1,0,1,Unsafe Speed,No,Rear-End,Other Motor Vehicle,No Pedestrian Involved,22350,,Raining,No Unusual Condition,Dusk - Dawn,Functioning,Driver,34,Female,Proceeding Straight,Cell Phone Not In Use,None Apparent,HNBD,Driver,41,Male,Slowing/Stopping,Cell Phone Not In Use,None Apparent,HNBD,Lap/Shoulder Harness Used
201600001186,1/11/2016,18:26,Monday,STONERIDGE DR,OFF RAMP SB I680 TO STONERIDGE DR,6150684,2077057,37.69066418,-121.9204103,Complaint of Pain,1,0,1,Auto R/W Violation,No,Broadside,Bicycle,No Pedestrian Involved,21453,B,Clear,No Unusual Condition,Dark - Street Lights,Functioning,Driver,53,Male,Making Right Turn,Cell Phone Not In Use,Entering - Leaving Ramp,HNBD,Bicyclist,35,Male,Proceeding Straight,Cell Phone Not In Use,,HNBD,M/C Helmet Driver - Yes
201800001346,1/11/2018,07:38,Thursday,STONERIDGE DR,OFF RAMP NB I680 TO STONERIDGE DR,6151885.565,2076925.46,37.69030295,-121.9162579,Property Damage Only,0,0,1,Unsafe Speed,No,Rear-End,Parked Motor Vehicle,No Pedestrian Involved,22350,,Cloudy,Obstruction On Roadway,Daylight,Functioning,Driver,34,Male,Changing Lanes,Cell Phone Not In Use,Other,HNBD,Parked Vehicle,,,Parked,Not Stated,None Stated,Not Applicable,
201800001407,1/11/2018,15:37,Thursday,TASSAJARA RD,OFF RAMP WB I580 TO TASSAJARA RD,6164732,2081233,37.70259147,-121.87202,Complaint of Pain,1,0,1,Unsafe Speed,No,Rear-End,Other Motor Vehicle,No Pedestrian Involved,22350,,Clear,No Unusual Condition,Daylight,Functioning,Driver,25,Male,Proceeding Straight,Cell Phone Not In Use,None Apparent,HNBD,Driver,34,Female,Stopped In Road,Cell Phone Not In Use,None Apparent,HNBD,Lap/Shoulder Harness Used
201900001192,1/11/2019,16:04,Friday,MOHR AV,KOLLN ST,6164282.999,2073683.669,37.68191805,-121.8731172,Complaint of Pain,2,0,1,Unsafe Speed,No,Rear-End,Other Motor Vehicle,No Pedestrian Involved,22350,,Clear,No Unusual Condition,Daylight,No Controls Present / Factor,Driver,52,Male,Proceeding Straight,Cell Phone Not In Use,None Apparent,HNBD,Driver,47,Female,Making Left Turn,Cell Phone Not In Use,None Apparent,HNBD,Lap/Shoulder Harness Used
201100001818,1/12/2011,07:35,Wednesday,BERNAL AV,PALOMINO DR,6168760,2066067,37.66126178,-121.8573587,Property Damage Only,0,0,,Auto R/W Violation,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,21802,,Cloudy,No Unusual Condition,Daylight,Functioning,Driver,55,Not Stated,Making Left Turn,Not Stated,Not Stated,HNBD,Driver,25,Not Stated,Proceeding Straight,Not Stated,Not Stated,HNBD,Lap/Shoulder Harness Used
201100001940,1/12/2011,18:49,Wednesday,STONERIDGE MALL RD,DEODAR WY,6147912.435,2077765.193,37.69246258,-121.9300437,Property Damage Only,0,0,,Auto R/W Violation,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,21804,,Clear,No Unusual Condition,Dark - Street Lights,Functioning,Driver,55,Not Stated,Entering Traffic,Not Stated,Not Stated,HNBD,Driver,59,Not Stated,Proceeding Straight,Not Stated,Not Stated,HNBD,Lap/Shoulder Harness Used
201200001493,1/12/2012,07:27,Thursday,STONERIDGE DR,RHEEM DR,6163570,2075925,37.68809652,-121.8757756,Property Damage Only,0,0,1,Traffic Signals and Signs,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,21453,A,Clear,No Unusual Condition,Daylight,Functioning,Driver,40,Male,Proceeding Straight,Cell Phone Not In Use,Vision Obscurements,HNBD,Driver,55,Male,Making Left Turn,Cell Phone Not In Use,None Apparent,HNBD,Lap/Shoulder Harness Used
20121503,1/12/2012,08:04,Thursday,CALLE DE LA PAZ,BLACK AV,6158890,2069574,37.67048496,-121.8915714,Complaint of Pain,1,0,1,Auto R/W Violation,No,Broadside,Bicycle,No Pedestrian Involved,21800,A,Clear,No Unusual Condition,Daylight,None,Driver,58,Male,Proceeding Straight,Cell Phone Not In Use,None Apparent,HNBD,Bicyclist,15,Male,Proceeding Straight,Cell Phone Not In Use,None Apparent,HNBD,M/C Helmet Driver - Yes
201201557,1/12/2012,14:45,Thursday,FIRST ST,NEAL ST,6164019,2065567,37.659596,-121.873799,Property Damage Only,0,0,1,Auto R/W Violation,No,Head-On,Other Motor Vehicle,No Pedestrian Involved,21801,A,Clear,No Unusual Condition,Daylight,Functioning,Driver,74,Male,Making Left Turn,Cell Phone Not In Use,None Apparent,HNBD,Driver,20,Male,Proceeding Straight,Cell Phone Not In Use,None Apparent,HNBD,Lap/Shoulder Harness Used
201200001573,1/12/2012,16:26,Thursday,MAIRMONT DR,LIGHTLAND CT,6164227,2073025,37.68010922,-121.8733107,Other Visible Injury,1,0,1,Ped R/W Violation,No,Vehicle - Pedestrian,Pedestrian,Crossing In Crosswalk at Intersection,21950,A,Clear,Other,Daylight,None,Driver,47,Male,Making Left Turn,Cell Phone Not In Use,Violation,HNBD,Pedestrian,42,Female,Stopped in Road,Cell Phone Not In Use,None Apparent,HNBD,Not Stated
201200001586,1/12/2012,17:38,Thursday,FOOTHILL RD,HIGHLAND OAKS DR,6149673.21,2073580.509,37.68101056,-121.9238399,Property Damage Only,0,0,1,Unsafe Speed,No,Rear-End,Other Motor Vehicle,No Pedestrian Involved,22350,,Clear,No Unusual Condition,Dark - Street Lights,None,Driver,48,Female,Slowing/Stopping,Cell Phone Not In Use,None Apparent,HNBD,Driver,23,Male,Slowing/Stopping,Cell Phone Not In Use,None Apparent,HNBD,Lap/Shoulder Harness Used
201500001561,1/12/2015,18:59,Monday,SANTA RITA RD,MOHR AV,6163423.095,2074241.199,37.68347249,-121.8762834,Property Damage Only,0,0,1,Auto R/W Violation,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,21801,A,Clear,No Unusual Condition,Dark - Street Lights,No Controls Present / Factor,Driver,47,Female,Making Left Turn,Cell Phone Not In Use,Vision Obscurements,HNBD,Driver,60,Male,Proceeding Straight,Cell Phone Not In Use,None Apparent,HNBD,Lap/Shoulder Harness Used
201600001234,1/12/2016,06:43,Tuesday,STONERIDGE DR,EL CHARRO RD,6171598,2079218,37.69741331,-121.848279,Complaint of Pain,2,0,1,Other Hazardous Movement,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,21451,A,Cloudy,No Unusual Condition,Dusk - Dawn,Functioning,Driver,56,Male,Proceeding Straight,Cell Phone Not In Use,None Apparent,HNBD,Driver,33,Male,Making Left Turn,Cell Phone Not In Use,None Apparent,HNBD,Lap/Shoulder Harness Used
201600001263,1/12/2016,09:47,Tuesday,BERNAL AV,OAK VISTA WY,6158031.026,2065223.836,37.65843896,-121.894403,Complaint of Pain,1,0,1,Unsafe Speed,No,Rear-End,Other Motor Vehicle,No Pedestrian Involved,22350,,Cloudy,No Unusual Condition,Not Stated,Functioning,Driver,39,Male,Proceeding Straight,Cell Phone Not In Use,Inattention,HNBD,Driver,54,Male,Stopped In Road,Cell Phone Not In Use,None Apparent,HNBD,Lap/Shoulder Harness Used
201700001223,1/12/2017,01:42,Thursday,TOURIGA DR,ARBOR CT,6170091.876,2064716.178,37.65755216,-121.8527578,Property Damage Only,0,0,1,Driving Under Influence,No,Hit Object,Fixed Object,No Pedestrian Involved,23152,A,Raining,No Unusual Condition,Dark - Street Lights,No Controls Present / Factor,Driver,25,Male,Making Left Turn,Cell Phone Not In Use,Violation,HBD Under Influence,,,,,,,,
201800001515,1/12/2018,13:51,Friday,VALLEY AV,BERNAL AV (W),6157279.978,2065623.979,37.65953783,-121.8969974,Other Visible Injury,1,0,1,Improper Turning,No,Hit Object,Fixed Object,No Pedestrian Involved,22107,,Clear,No Unusual Condition,Daylight,No Controls Present / Factor,Driver,68,Male,Proceeding Straight,Cell Phone Not In Use,None Apparent,HNBD,,,,,,,,
201900001307,1/12/2019,18:49,Saturday,VALLEY AV,BERNAL AV (W),6157276,2065234,37.65846687,-121.8970111,Complaint of Pain,1,0,1,Auto R/W Violation,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,21453,C,Clear,No Unusual Condition,Dark - Street Lights,Functioning,Driver,61,Female,Making Left Turn,Cell Phone Not In Use,None Apparent,HNBD,Driver,33,Female,Proceeding Straight,Cell Phone Not In Use,None Apparent,HNBD,Lap/Shoulder Harness Used
201100002097,1/13/2011,15:28,Thursday,OWENS DR,ROSEWOOD DR,6160402.27,2078892.933,37.69602496,-121.8868739,Complaint of Pain,1,0,1,Unsafe Speed,No,Rear-End,Other Motor Vehicle,No Pedestrian Involved,22350,,Clear,No Unusual Condition,Daylight,Functioning,Driver,40,Female,Proceeding Straight,Cell Phone Not In Use,None Apparent,HNBD,Driver,25,Male,Stopped In Road,Cell Phone Not In Use,None Apparent,HNBD,Lap/Shoulder Harness Used
201200001677,1/13/2012,11:06,Friday,FOOTHILL RD,FOOTHILL KNOLLS DR,6151595,2067721,37.66503581,-121.9168649,Property Damage Only,0,0,2,Unsafe Speed,No,Rear-End,Other Motor Vehicle,No Pedestrian Involved,22350,,Clear,No Unusual Condition,Daylight,None,Driver,49,Female,Stopped in Road,Cell Phone Not In Use,None Apparent,HNBD,Driver,81,Female,Proceeding Straight,Cell Phone Not In Use,None Apparent,HNBD,Lap/Shoulder Harness Used
201400001800,1/13/2014,09:16,Monday,LAS POSITAS BL,OWENS DR,6161463.009,2076783.195,37.69045328,-121.8830569,Other Visible Injury,1,0,1,Unknown,No,Vehicle - Pedestrian,Pedestrian,In Road,2818,,Clear,Construction Or Repair Zone,Daylight,Functioning,Driver,31,Female,Proceeding Straight,Cell Phone Not In Use,Violation,HNBD,Pedestrian,29,Male,,,None Apparent,HNBD,
201400001808,1/13/2014,10:39,Monday,STONERIDGE DR,GIBRALTAR DR,6159099.301,2077518.535,37.69225061,-121.891377,Property Damage Only,0,0,1,Improper Turning,No,Sideswipe,Other Motor Vehicle,No Pedestrian Involved,22107,,Clear,Construction Or Repair Zone,Daylight,Functioning,Driver,79,Female,Other Unsafe Turning,Cell Phone Not In Use,None Apparent,Impairment Not Known,Driver,33,Male,Stopped In Road,Cell Phone Not In Use,None Apparent,HNBD,Lap/Shoulder Harness Used
201400001828,1/13/2014,15:09,Monday,SANTA RITA RD,MOHR AV,6163556.925,2073723.208,37.68202663,-121.8756261,Other Visible Injury,1,0,1,Other Hazardous Movement,No,Sideswipe,Parked Motor Vehicle,No Pedestrian Involved,22517,,Clear,No Unusual Condition,Daylight,No Controls Present / Factor,Parked Vehicle,36,Male,Parked,,None Apparent,HNBD,Driver,,Male,Proceeding Straight,Cell Phone Not In Use,None Apparent,HNBD,Lap Belt Used
201500001612,1/13/2015,06:48,Tuesday,SUNOL BL,ON RAMP NB I680 FROM EB SUNOL BL,6160927,2058505,37.6400456,-121.8840166,Complaint of Pain,1,0,1,Auto R/W Violation,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,21801,A,Clear,No Unusual Condition,Daylight,No Controls Present / Factor,Driver,66,Male,Making Left Turn,,Inattention,HNBD,Driver,42,Male,Proceeding Straight,Cell Phone Not In Use,,HNBD,Lap/Shoulder Harness Used
201500001613,1/13/2015,06:59,Tuesday,CASE AV,VALLEY AV,6160772.023,2062755.256,37.65185079,-121.8848374,Complaint of Pain,1,0,1,Driving Under Influence,No,Head-On,Parked Motor Vehicle,No Pedestrian Involved,23152,A,Clear,No Unusual Condition,Daylight,No Controls Present / Factor,Driver,23,Female,Proceeding Straight,Cell Phone Not In Use,None Apparent,HBD Under Influence,Parked Vehicle,,,Parked,Cell Phone Not In Use,None Apparent,Not Applicable,
2015800001635,1/13/2015,09:17,Tuesday,HOPYARD RD,OFF RAMP EB I580 TO HOPYARD RD,6154812.688,2080759.493,37.70100281,-121.9062835,Complaint of Pain,1,0,1,Unsafe Speed,No,Rear-End,Other Motor Vehicle,No Pedestrian Involved,22350,,Clear,No Unusual Condition,Daylight,No Controls Present / Factor,Driver,33,Female,Proceeding Straight,Cell Phone Not In Use,None Apparent,HNBD,Driver,37,Male,Stopped In Road,Cell Phone Not In Use,None Apparent,HNBD,Lap/Shoulder Harness Used
201600001383,1/13/2016,07:18,Wednesday,SUNOL BL,ON RAMP SB I680 FROM EB SUNOL BL,6160498,2058231,37.63929314,-121.8854982,Complaint of Pain,2,0,1,Auto R/W Violation,No,Head-On,Other Motor Vehicle,No Pedestrian Involved,21801,A,Raining,No Unusual Condition,Dusk - Dawn,No Controls Present / Factor,Driver,26,Female,Making Left Turn,Cell Phone Not In Use,None Apparent,HNBD,Driver,56,Female,Proceeding Straight,Cell Phone Not In Use,None Apparent,HNBD,Lap/Shoulder Harness Used
201600001450,1/13/2016,15:07,Wednesday,STONERIDGE DR,STONERIDGE MALL RD,6149845.003,2077148.533,37.69091555,-121.9233097,Property Damage Only,0,0,2,Improper Turning,Misdemeanor,Sideswipe,Other Motor Vehicle,No Pedestrian Involved,22107,,Cloudy,No Unusual Condition,Daylight,Functioning,Driver,,,Proceeding Straight,School Bus Related,None Apparent,Not Applicable,Driver,48,Female,Making Left Turn,Cell Phone Not In Use,None Apparent,HNBD,Lap/Shoulder Harness Used
201700001476,1/13/2017,,Friday,LAUREL CREEK WY,FOOTHILL RD,6147519.071,2077108.427,37.69065898,-121.9314032,Property Damage Only,0,0,1,Improper Turning,Misdemeanor,Hit Object,Fixed Object,No Pedestrian Involved,22107,,Clear,No Unusual Condition,Dark - Street Lights,Functioning,Driver,,,Other Unsafe Turning,,None Apparent,Impairment Not Known,,,,,,,,
201700001340,1/13/2017,00:38,Friday,VINEYARD AV,FIRST ST,6165161,2066828,37.66305896,-121.869854,Complaint of Pain,1,0,1,Ped R/W Violation,No,Vehicle - Pedestrian,Pedestrian,Crossing In Crosswalk At Intersection,21950,A,Clear,No Unusual Condition,Dark - Street Lights,Functioning,Driver,25,Male,Making Right Turn,Cell Phone Not In Use,Inattention,HNBD,Pedestrian,24,Male,Proceeding Straight,Cell Phone Not In Use,None Apparent,HNBD,
201700001405,1/13/2017,12:50,Friday,STONERIDGE DR,HOPYARD RD,6155541,2077290,37.69147495,-121.9037662,Property Damage Only,0,0,1,Unsafe Speed,No,Rear-End,Other Motor Vehicle,No Pedestrian Involved,22350,,Clear,No Unusual Condition,Daylight,Functioning,Driver,82,Male,Proceeding Straight,Cell Phone Not In Use,None Apparent,HNBD,Driver,49,Male,Making U Turn,Cell Phone Not In Use,None Apparent,HNBD,Lap/Shoulder Harness Used
201800001704,1/13/2018,18:37,Saturday,VIA SAN BLAS,CORTE SAN BLAS,6156037.965,2068617.414,37.66760993,-121.9014727,Complaint of Pain,1,0,1,Driving Under Influence,No,Other,Parked Motor Vehicle,No Pedestrian Involved,23152,A,Other,No Unusual Condition,Dark - Street Lights,No Controls Present / Factor,Driver,18,Female,Proceeding Straight,Not Stated,Violation,HBD Under Influence,Parked Vehicle,,,Other,Not Stated,None Stated,Not Applicable,
201900001373,1/13/2019,12:22,Sunday,HOPYARD RD,DEL VALLE PW,6160968.977,2068699.008,37.66808207,-121.884389,Other Visible Injury,1,0,1,Auto R/W Violation,No,Sideswipe,Bicycle,No Pedestrian Involved,21804,A,Cloudy,No Unusual Condition,Daylight,No Controls Present / Factor,Driver,83,Female,Merging,Cell Phone Not In Use,Inattention,HNBD,Bicyclist,54,Female,Proceeding Straight,Cell Phone Not In Use,None Apparent,HNBD,M/C Helmet Driver - Yes
201100002175,1/14/2011,02:22,Friday,TOURIGA DR,VINEYARD AV,6170257.82,2067344,37.66476868,-121.8521846,Property Damage Only,0,0,1,Improper Turning,No,Hit Object,Fixed Object,No Pedestrian Involved,22107,,Clear,No Unusual Condition,Dark - Street Lights,None,Driver,22,Male,Making Right Turn,Cell Phone Not In Use,None Apparent,HNBD,,,,,,,,
201100002245,1/14/2011,15:56,Friday,INGLEWOOD DR,HOPYARD RD,6155655.809,2076087.491,37.68813606,-121.9031306,Property Damage Only,0,0,2,Auto R/W Violation,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,21801,,Clear,No Unusual Condition,Daylight,Functioning,Driver,46,Male,Passing Other Vehicle,Not Stated,Not Stated,HNBD,Driver,17,Female,Making Left Turn,Cell Phone Not In Use,None Apparent,HNBD,Lap/Shoulder Harness Used
201100002294,1/14/2011,20:30,Friday,BERNAL AV,VINEYARD AV (N),6169213,2067394,37.66490599,-121.855794,Complaint of Pain,1,0,1,Auto R/W Violation,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,21801,,Clear,No Unusual Condition,Dark - Street Lights,Functioning,Driver,17,Female,Making Left Turn,Cell Phone Not In Use,None Apparent,HNBD,Driver,16,Female,Proceeding Straight,Cell Phone Not In Use,None Apparent,HNBD,Lap/Shoulder Harness Used
201200001875,1/14/2012,14:04,Saturday,STONERIDGE MALL RD,SPRINGDALE AV,6149081.946,2078074.909,37.69331312,-121.926002,Complaint of Pain,1,0,1,Unsafe Speed,No,Rear-End,Other Motor Vehicle,No Pedestrian Involved,22350,,Clear,No Unusual Condition,Daylight,None,Driver,35,Female,Proceeding Straight,Cell Phone Not In Use,None Apparent,HNBD,Driver,30,Male,Slowing/Stopping,Cell Phone Not In Use,None Apparent,HNBD,Lap/Shoulder Harness Used
2013-00001754,1/14/2013,16:01,Monday,STONERIDGE DR,SANTA RITA RD,6163003,2075864,37.687929,-121.877735,Property Damage Only,0,0,3,Pedestrian Violation,No,Rear-End,Other Motor Vehicle,Crossing In Crosswalk at Intersection,21456,B,Clear,No Unusual Condition,Daylight,Functioning,Driver,36,Male,Making Right Turn,Cell Phone Not In Use,Violation,HNBD,Driver,78,Male,Making Right Turn,Cell Phone Not In Use,None Apparent,HNBD,Lap/Shoulder Harness Used
